sample_id,timestamp,fix_id,duration,fix_x,fix_Y,pt_x,pt_y
198,1529085907289755,2,1257072,903.678109691167,472.8834926517208,897.4501982197398,467.6820936233271
199,1529085907298259,2,1257072,903.678109691167,472.8834926517208,897.510887649405,468.5632216380909
200,1529085907306376,2,1257072,903.678109691167,472.8834926517208,897.9120269085979,475.82651086046826
201,1529085907314882,2,1257072,903.678109691167,472.8834926517208,896.5524347842438,470.8994626585627
202,1529085907323002,2,1257072,903.678109691167,472.8834926517208,893.970292245067,467.40922755596694
203,1529085907331501,2,1257072,903.678109691167,472.8834926517208,897.9933984465606,470.7831104064826
204,1529085907339749,2,1257072,903.678109691167,472.8834926517208,897.4646197704715,472.74629110784736
205,1529085907348128,2,1257072,903.678109691167,472.8834926517208,895.7885970904317,477.4932737585623
206,1529085907356372,2,1257072,903.678109691167,472.8834926517208,897.8798920140252,476.5873662478989
207,1529085907364874,2,1257072,903.678109691167,472.8834926517208,900.1180477906018,469.9833873237949
208,1529085907372993,2,1257072,903.678109691167,472.8834926517208,896.1482233872812,468.19146629655734
209,1529085907381498,2,1257072,903.678109691167,472.8834926517208,895.2468313511054,470.32184129941743
210,1529085907389633,2,1257072,903.678109691167,472.8834926517208,898.4441918105586,470.81595109705813
211,1529085907398119,2,1257072,903.678109691167,472.8834926517208,898.2317267330654,468.89308626262937
212,1529085907406237,2,1257072,903.678109691167,472.8834926517208,900.3908026036515,467.9573446440045
213,1529085907414741,2,1257072,903.678109691167,472.8834926517208,901.2255202335655,472.05879226967227
214,1529085907422986,2,1257072,903.678109691167,472.8834926517208,897.9446504391672,470.9585140106501
215,1529085907431364,2,1257072,903.678109691167,472.8834926517208,896.9657332409406,468.5712276168633
216,1529085907439623,2,1257072,903.678109691167,472.8834926517208,895.962329619797,470.8275738048833
217,1529085907448112,2,1257072,903.678109691167,472.8834926517208,894.3092668247118,466.9211920519592
218,1529085907456353,2,1257072,903.678109691167,472.8834926517208,897.970134527277,464.9072069384856
219,1529085907464737,2,1257072,903.678109691167,472.8834926517208,899.687951769447,469.7967369699618
220,1529085907472977,2,1257072,903.678109691167,472.8834926517208,896.5476636160747,475.0355569100939
221,1529085907481357,2,1257072,903.678109691167,472.8834926517208,898.509786221839,472.8970411205664
222,1529085907489617,2,1257072,903.678109691167,472.8834926517208,900.3357875418442,469.36614734481554
223,1529085907498105,2,1257072,903.678109691167,472.8834926517208,896.2702783182613,470.0478458326543
224,1529085907506224,2,1257072,903.678109691167,472.8834926517208,898.4136786522868,472.38780418306123
225,1529085907514732,2,1257072,903.678109691167,472.8834926517208,900.433154348284,468.83231766847894
226,1529085907522847,2,1257072,903.678109691167,472.8834926517208,899.031096342078,467.27239407610614
227,1529085907531356,2,1257072,903.678109691167,472.8834926517208,901.4319854555652,466.1349241686985
228,1529085907539626,2,1257072,903.678109691167,472.8834926517208,904.8698895957205,463.99323063646443
229,1529085907547980,2,1257072,903.678109691167,472.8834926517208,903.9598843389831,468.6549955304945
230,1529085907556218,2,1257072,903.678109691167,472.8834926517208,898.7147445332084,470.48690068512224
231,1529085907564598,2,1257072,903.678109691167,472.8834926517208,896.9482237048214,472.4500321749365
232,1529085907572842,2,1257072,903.678109691167,472.8834926517208,899.8374052885629,469.35952504037414
233,1529085907581353,2,1257072,903.678109691167,472.8834926517208,903.14216389379,466.84745898703113
234,1529085907589465,2,1257072,903.678109691167,472.8834926517208,906.8793460437155,466.9214865580434
235,1529085907597968,2,1257072,903.678109691167,472.8834926517208,907.3795707516547,467.5475264370907
236,1529085907606087,2,1257072,903.678109691167,472.8834926517208,903.5932870843681,469.7603501457488
237,1529085907614718,2,1257072,903.678109691167,472.8834926517208,901.7858349424205,469.67707252921537
238,1529085907622835,2,1257072,903.678109691167,472.8834926517208,904.5975763912429,470.1371600794373
239,1529085907631334,2,1257072,903.678109691167,472.8834926517208,905.7012782357924,472.0311033660546
240,1529085907639456,2,1257072,903.678109691167,472.8834926517208,900.3786151764507,471.57185852201656
